drug name,molecular_formula,smiles,,molecular_weight
Amcinonide,C28H35FO7,CC(=O)OCC(=O)[C@@]12[C@@H](C[C@@H]3[C@@]1(C[C@@H]([C@]4([C@H]3CCC5=CC(=O)C=C[C@@]54C)F)O)C)OC6(O2)CCCC6,,"Breast Feeding|Lactation|Corticosteroids, Topical|Glucocorticoids|Anti-Inflammatory Agents"
Osimertinib,C28H33N7O2,CN1C=C(C2=CC=CC=C21)C3=NC(=NC=C3)NC4=C(C=C(C(=C4)NC(=O)C=C)N(C)CCN(C)C)OC,,Breast Feeding|Lactation|Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors|Signal Transduction Inhibitors
pacritinib,C28H32N4O3,C1CCN(C1)CCOC2=C3COC/C=C/COCC4=CC(=CC=C4)C5=NC(=NC=C5)NC(=C3)C=C2,,"Breast Feeding|Lactation|Milk, Human|Antineoplastic Agents|Enzyme Inhibitors|Janus Kinase Inhibitors|JAK Inhibitors|Signal Transduction Inhibitors|Protein Kinase Inhibitors"
Bitolterol,C28H31NO5,CC1=CC=C(C=C1)C(=O)OC2=C(C=C(C=C2)C(CNC(C)(C)C)O)OC(=O)C3=CC=C(C=C3)C,,"Breast Feeding|Lactation|Milk, Human|Anti-Asthmatic Agents|Bronchodilator Agents|Beta Adrenergic Agonists"
Pimozide,C28H29F2N3O,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,,"Breast Feeding|Lactation|Milk, Human|Antipsychotic Agents"
Adapalene,C28H28O3,COC1=C(C=C(C=C1)C2=CC3=C(C=C2)C=C(C=C3)C(=O)O)C45CC6CC(C4)CC(C6)C5,,"Breast Feeding|Lactation|Milk, Human|Dermatologic Agents|Anti-Inflammatory Agents, Non-Steroidal"
rimegepant,C28H28F2N6O3,C1C[C@H](C2=C(C=CC=N2)[C@H]([C@@H]1C3=C(C(=CC=C3)F)F)N)OC(=O)N4CCC(CC4)N5C6=C(NC5=O)N=CC=C6,,"Breast Feeding|Lactation|Milk, Human|Analgesics|Calcitonin Gene Related Peptide Receptor Antagonists|CGRP-R Inhibitors"
Netarsudil,C28H27N3O3,CC1=CC(=C(C=C1)C(=O)OCC2=CC=C(C=C2)[C@@H](CN)C(=O)NC3=CC4=C(C=C3)C=NC=C4)C,,Breast Feeding|Lactation|Antiglaucoma Agents|Rho Kinase Inhibitors
Nilotinib,C28H22F3N7O,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,,Breast Feeding|Lactation|Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors|Signal Transduction Inhibitors|Tyrosine Kinase Inhibitors
Ivosidenib,C28H22ClF3N6O3,C1CC(=O)N([C@@H]1C(=O)N(C2=CC(=CN=C2)F)[C@@H](C3=CC=CC=C3Cl)C(=O)NC4CC(C4)(F)F)C5=NC=CC(=C5)C#N,,Breast Feeding|Lactation|Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors|Signal Transduction Inhibitors|Isocitrate Dehydrogenase Inhibitors
Lepirudin,C287H440N80O111S6,CC[C@H](C)[C@H]1C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CSSC[C@H]2C(=O)NCC(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CSSC[C@@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2)C(C)C)CC(=O)N)CO)CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]3CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N3)CC(C)C)CC(=O)N)CCC(=O)N)CO)CCC(=O)O)[C@@H](C)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CC4=CC=C(C=C4)O)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CC(C)C)N)C(=O)N1)CCCCN)CC(=O)N)CCC(=O)N)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H]([C@@H](C)O)C(=O)NCC(=O)N[C@@H](CCC(=O)O)C(=O)NCC(=O)N[C@@H]([C@@H](C)O)C(=O)N5CCC[C@H]5C(=O)N[C@@H](CCCCN)C(=O)N6CCC[C@H]6C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC7=CNC=N7)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC8=CC=CC=C8)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N9CCC[C@H]9C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC1=CC=C(C=C1)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N)C(=O)O)CCC(=O)N)CC(=O)N)CCCCN)CCC(=O)O)CC(=O)O)CO)CC(C)C,,Breast Feeding|Lactation|Anticoagulants|Antithrombins
Desirudin,C287H440N80O110S6,CC[C@H](C)[C@H]1C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CSSC[C@H]2C(=O)NCC(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CSSC[C@@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2)C(C)C)CC(=O)N)CO)CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]3CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N3)CC(C)C)CC(=O)N)CCC(=O)N)CO)CCC(=O)O)[C@@H](C)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CC4=CC=C(C=C4)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)N)C(=O)N1)CCCCN)CC(=O)N)CCC(=O)N)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H]([C@@H](C)O)C(=O)NCC(=O)N[C@@H](CCC(=O)O)C(=O)NCC(=O)N[C@@H]([C@@H](C)O)C(=O)N5CCC[C@H]5C(=O)N[C@@H](CCCCN)C(=O)N6CCC[C@H]6C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC7=CN=CN7)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC8=CC=CC=C8)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N9CCC[C@H]9C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC1=CC=C(C=C1)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N)C(=O)O)CCC(=O)N)CC(=O)N)CCCCN)CCC(=O)O)CC(=O)O)CO)CC(C)C,,Breast Feeding|Lactation|Anticoagulants
brincidofovir,C27H52N3O7P,CCCCCCCCCCCCCCCCOCCCOP(=O)(CO[C@@H](CN1C=CC(=NC1=O)N)CO)O,,"Breast Feeding|Lactation|Milk, Human|Anti-Infective Agents|Antiviral Agents"
Cholestyramine,C27H47ClN2,CCC(C)C.CCC(CC(C)C1=CC=CC=C1)C2=CC=C(C=C2)C[N+](C)(C)C.N.[Cl-],,"Breast Feeding|Lactation|Milk, Human|Anticholesteremic Agents|Antilipemic Agents"
Boceprevir,C27H45N5O5,CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)NC(C)(C)C)C(=O)NC(CC3CCC3)C(=O)C(=O)N)C,,"Breast Feeding|Lactation|Milk, Human|Antiviral Agents|Protease Inhibitors"
Calcitriol,C27H44O3,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](C[C@@H](C3=C)O)O)C,,"Breast Feeding|Lactation|Milk, Human|Bone Density Conservation Agents|Vitamins|Vitamin D"
Latanoprostene Bunod,C27H41NO8,C1[C@H]([C@@H]([C@H]([C@H]1O)C/C=C\CCCC(=O)OCCCCO[N+](=O)[O-])CC[C@H](CCC2=CC=CC=C2)O)O,,"Breast Feeding|Lactation|Milk, Human|Antiglaucoma Agents|Prostaglandins"
Calcipotriene,C27H40O3,C[C@H](/C=C/[C@H](C1CC1)O)[C@H]2CC[C@@H]\3[C@@]2(CCC/C3=C\C=C/4\C[C@H](C[C@@H](C4=C)O)O)C,,Breast Feeding|Lactation|Dermatologic Agents
Darunavir,C27H37N3O7S,CC(C)CN(C[C@H]([C@H](CC1=CC=CC=C1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)C4=CC=C(C=C4)N,,"Breast Feeding|Lactation|Milk, Human|Anti-Infective Agents|Anti-HIV Agents|Antiviral Agents|Anti-Retroviral Agents|HIV Protease Inhibitors"
Prednicarbate,C27H36O8,CCC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)C=C[C@]34C)O)C)OC(=O)OCC,,"Breast Feeding|Lactation|Corticosteroids, Topical"
fedratinib,C27H36N6O3S,CC1=CN=C(N=C1NC2=CC(=CC=C2)S(=O)(=O)NC(C)(C)C)NC3=CC=C(C=C3)OCCN4CCCC4,,Breast Feeding|Lactation|Enzyme Inhibitors|Protein Kinase Inhibitors|Tyrosine Kinase Inhibitors|Signal Transduction Inhibitors|Janus Kinase Inhibitors|JAK Inhibitors
Clocortolone Pivalate,C27H36ClFO5,C[C@@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@H]1C(=O)COC(=O)C(C)(C)C)C)O)Cl)C)F,,"Breast Feeding|Lactation|Corticosteroids, Topical"
Piritramide,C27H34N4O,C1CCN(CC1)C2(CCN(CC2)CCC(C#N)(C3=CC=CC=C3)C4=CC=CC=C4)C(=O)N,,"Breast Feeding|Lactation|Milk, Human|Analgesics, Opioid|Narcotics"
pralsetinib,C27H32FN9O2,CC1=CC(=NN1)NC2=NC(=NC(=C2)C)C3CCC(CC3)(C(=O)N[C@@H](C)C4=CN=C(C=C4)N5C=C(C=N5)F)OC,,Breast Feeding|Lactation|Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors|Signal Transduction Inhibitors
Eravacycline,C27H31FN4O8,CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C=C(C(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)NC(=O)CN5CCCC5)F,,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Tetracyclines
Doxorubicin,C27H29NO11,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,,"Breast Feeding|Lactation|Milk, Human|Antineoplastic Agents|Antibiotics, Antineoplastic|Topoisomerase II Inhibitors"
Bosentan,C27H29N5O6S,CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=NC(=N2)C3=NC=CC=N3)OCCO)OC4=CC=CC=C4OC,,"Breast Feeding|Lactation|Milk, Human|Antihypertensive Agents"
zanubrutinib,C27H29N5O3,C=CC(=O)N1CCC(CC1)[C@@H]2CCNC3=C(C(=NN23)C4=CC=C(C=C4)OC5=CC=CC=C5)C(=O)N,,Breast Feeding|Lactation|Antineoplastic Agents|Enzyme Inhibitors|Hematologic Agents|Protein Kinase Inhibitors
Clofazimine,C27H22Cl2N4,CC(C)N=C1C=C2C(=NC3=CC=CC=C3N2C4=CC=C(C=C4)Cl)C=C1NC5=CC=C(C=C5)Cl,,Breast Feeding|Lactation|Leprostatic Agents
(14C)-Glycocholic Acid,C26H43NO6,C[C@H](CCC(=O)NC[14C](=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,,Breast Feeding|Lactation|Radiopharmaceuticals|Carbon Radioisotopes|Diagnostic Agents
Enoxaparin,C26H42N2O37S5,CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O,,Breast Feeding|Lactation|Anticoagulants|Low Molecular Weight Heparin
Heparin,C26H42N2O37S5,CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O,,Breast Feeding|Lactation|Anticoagulants
Dalteparin,C26H42N2O37S5,CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O,,Breast Feeding|Lactation|Anticoagulants|Low Molecular Weight Heparin
Tinzaparin,C26H42N2O37S5,CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O,,Breast Feeding|Lactation|Anticoagulants|Low Molecular Weight Heparin
Latanoprost,C26H40O5,CC(C)OC(=O)CCC/C=C\C[C@H]1[C@H](C[C@H]([C@@H]1CC[C@H](CCC2=CC=CC=C2)O)O)O,,"Breast Feeding|Lactation|Milk, Human|Antiglaucoma Agents|Prostaglandins"
Flaxseed,C26H38O12,COC1=C(C=CC(=C1)C[C@@H](CO)[C@@H](CC2=CC(=C(C=C2)O)OC)CO)O.C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O,,"Breast Feeding|Lactation|Milk, Human|Complementary Therapies|Food|Galactogogues|Laxatives|Oils|Phytotherapy|Plants, Medicinal"
Fesoterodine,C26H37NO3,CC(C)C(=O)OC1=C(C=C(C=C1)CO)[C@H](CCN(C(C)C)C(C)C)C2=CC=CC=C2,,Breast Feeding|Lactation|Muscarinic Antagonists|Parasympatholytics
Cabergoline,C26H37N5O2,CCNC(=O)N(CCCN(C)C)C(=O)[C@@H]1C[C@H]2[C@@H](CC3=CNC4=CC=CC2=C34)N(C1)CC=C,,"Breast Feeding|Lactation|Milk, Human|Antiparkinson Agents|Dopamine Agonists"
Estradiol Cypionate,C26H36O3,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2OC(=O)CCC4CCCC4)CCC5=C3C=CC(=C5)O,,Breast Feeding|Lactation|Estrogens|Hormones
Travoprost,C26H35F3O6,CC(C)OC(=O)CCC/C=C\C[C@H]1[C@H](C[C@H]([C@@H]1/C=C/[C@H](COC2=CC=CC(=C2)C(F)(F)F)O)O)O,,"Breast Feeding|Lactation|Milk, Human|Antiglaucoma Agents|Prostaglandins"
Fluocinonide,C26H32F2O7,CC(=O)OCC(=O)[C@@]12[C@@H](C[C@@H]3[C@@]1(C[C@@H]([C@]4([C@H]3C[C@@H](C5=CC(=O)C=C[C@@]54C)F)F)O)C)OC(O2)(C)C,,"Breast Feeding|Lactation|Corticosteroids, Topical|Glucocorticoids|Anti-Inflammatory Agents"
infigratinib,C26H31Cl2N7O3,CCN1CCN(CC1)C2=CC=C(C=C2)NC3=CC(=NC=N3)N(C)C(=O)NC4=C(C(=CC(=C4Cl)OC)OC)Cl,,"Breast Feeding|Lactation|Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors|Receptor, Fibroblast Growth Factor, Type 1"
Halofantrine,C26H30Cl2F3NO,CCCCN(CCCC)CCC(C1=C2C=CC(=CC2=C3C=C(C=C(C3=C1)Cl)Cl)C(F)(F)F)O,,Breast Feeding|Lactation|Anti-infective Agents|Antiparasitic Agents|Antimalarials|Antiprotozoal Agents
Tamoxifen,C26H29NO,CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3,,Breast Feeding|Lactation|Antineoplastic Agents|Estrogen Antagonists
Nicardipine,C26H29N3O6,CC1=C(C(C(=C(N1)C)C(=O)OCCN(C)CC2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OC,,Breast Feeding|Lactation|Antihypertensive Agents|Calcium Channel Blockers|Vasodilator Agents
tirbanibulin,C26H29N3O3,C1COCCN1CCOC2=CC=C(C=C2)C3=CN=C(C=C3)CC(=O)NCC4=CC=CC=C4,,Breast Feeding|Lactation|Antineoplastic Agents|Dermatologic Agents
Choline Magnesium Salicylate,C26H29MgNO10,C[N+](C)(C)CCO.C1=CC=C(C(=C1)C(=O)O)[O-].C1=CC=C(C(=C1)C(=O)O)[O-].C1=CC=C(C(=C1)C(=O)O)[O-].[Mg+2],,Breast Feeding|Lactation|Analgesic Agents|Nonsteroidal Antiinflammatory Agents
Levocabastine,C26H29FN2O2,C[C@@H]1CN(CC[C@@]1(C2=CC=CC=C2)C(=O)O)C3CCC(CC3)(C#N)C4=CC=C(C=C4)F,,Breast Feeding|Lactation|Antihistamines
Bosutinib,C26H29Cl2N5O3,CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC,,Breast Feeding|Lactation|Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors|Signal Transduction Inhibitors|Tyrosine Kinase Inhibitors
Cinnarizine,C26H28N2,C1CN(CCN1C/C=C/C2=CC=CC=C2)C(C3=CC=CC=C3)C4=CC=CC=C4,,"Breast Feeding|Lactation|Milk, Human|Calcium Channel Blockers|Histamine H1 Antagonists|Vasodilator Agents"
Clomiphene,C26H28ClNO,CCN(CC)CCOC1=CC=C(C=C1)/C(=C(\C2=CC=CC=C2)/Cl)/C3=CC=CC=C3,,"Breast Feeding|Lactation|Estrogen Antagonists|Fertility Agents|Female, Selective Estrogen Receptor Modulators"
Ketoconazole,C26H28Cl2N4O4,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OC[C@H]3CO[C@](O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl,,"Breast Feeding|Lactation|Milk, Human|Antifungal Agents|Dermatologic Agents|Enzyme Inhibitors"
Vilazodone,C26H27N5O2,C1CN(CCN1CCCCC2=CNC3=C2C=C(C=C3)C#N)C4=CC5=C(C=C4)OC(=C5)C(=O)N,,"Breast Feeding|Lactation|Milk, Human|Antidepressive Agents|Serotonin Uptake Inhibitors"
Dasabuvir,C26H27N3O5S,CC(C)(C)C1=CC(=CC(=C1OC)C2=CC3=C(C=C2)C=C(C=C3)NS(=O)(=O)C)N4C=CC(=O)NC4=O,,"Breast Feeding|Lactation|Milk, Human|Antiviral Agents"
avapritinib,C26H27FN10,C[C@](C1=CC=C(C=C1)F)(C2=CN=C(N=C2)N3CCN(CC3)C4=NC=NN5C4=CC(=C5)C6=CN(N=C6)C)N,,Breast Feeding|Lactation|Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors|Signal Transduction Inhibitors|Tyrosine Kinase Inhibitors
Flunarizine,C26H26F2N2,C1CN(CCN1C/C=C/C2=CC=CC=C2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F,,"Breast Feeding|Lactation|Milk, Human|Calcium Channel Blockers|Histamine H1 Antagonists|Vasodilator Agents"
tucatinib,C26H24N8O2,CC1=C(C=CC(=C1)NC2=NC=NC3=C2C=C(C=C3)NC4=NC(CO4)(C)C)OC5=CC6=NC=NN6C=C5,,Breast Feeding|Lactation|Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors|Signal Transduction Inhibitors|Tyrosine Kinase Inhibitors
Deferoxamine,C25H48N6O8,CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O,,Breast Feeding|Lactation|Chelating Agents|Iron Chelating Agents
Plazomicin,C25H48N6O10,C[C@@]1(CO[C@@H]([C@@H]([C@H]1NC)O)O[C@H]2[C@@H](C[C@@H]([C@H]([C@@H]2O)O[C@@H]3[C@@H](CC=C(O3)CNCCO)N)N)NC(=O)[C@H](CCN)O)O,,Breast Feeding|Lactation|Antibacterial Agents|Anti-Infective Agents|Aminoglycosides
Salmeterol,C25H37NO4,C1=CC=C(C=C1)CCCCOCCCCCCNCC(C2=CC(=C(C=C2)O)CO)O,,Breast Feeding|Lactation|Anti-Asthmatic Agents|Bronchodilator Agents|Beta Adrenergic Agonists
Bimatoprost,C25H37NO4,CCNC(=O)CCC/C=C\C[C@H]1[C@H](C[C@H]([C@@H]1/C=C/[C@H](CCC2=CC=CC=C2)O)O)O,,Breast Feeding|Lactation|Antiglaucoma Agents|Prostaglandins
Fosamprenavir,C25H36N3O9PS,CC(C)CN(C[C@H]([C@H](CC1=CC=CC=C1)NC(=O)O[C@H]2CCOC2)OP(=O)(O)O)S(=O)(=O)C3=CC=C(C=C3)N,,"Breast Feeding|Lactation|Milk, Human|Anti-Infective Agents|Anti-HIV Agents|Antiviral Agents|Anti-Retroviral Agents|HIV Protease Inhibitors"
Budesonide,C25H34O6,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@@]5([C@H]4[C@H](C[C@@]3([C@@]2(O1)C(=O)CO)C)O)C,,"Breast Feeding|Lactation|Anti-Asthmatic Agents|Corticosteroids, Inhaled|Anti-allergic Agents|Corticosteroids, Systemic|Glucocorticoids|Anti-Inflammatory Agents"
pimavanserin,C25H34FN3O2,CC(C)COC1=CC=C(C=C1)CNC(=O)N(CC2=CC=C(C=C2)F)C3CCN(CC3)C,,"Breast Feeding|Lactation|Milk, Human|Antiparkinson Agents|Antipsychotic Agents|Serotonin 5-HT2 Receptor Antagonists"
Tafluprost,C25H34F2O5,CC(C)OC(=O)CCC/C=C\C[C@H]1[C@H](C[C@H]([C@@H]1/C=C/C(COC2=CC=CC=C2)(F)F)O)O,,"Breast Feeding|Lactation|Milk, Human|Antiglaucoma Agents|Prostaglandins"
Nefazodone,C25H32ClN5O2,CCC1=NN(C(=O)N1CCOC2=CC=CC=C2)CCCN3CCN(CC3)C4=CC(=CC=C4)Cl,,"Breast Feeding|Lactation|Milk, Human|Antidepressive Agents|Antidepressive Agents, Second-Generation"
Ampicillin and Sulbactam,C25H31N3O9S2,CC1([C@@H](C2[C@H](S1(=O)=O)CC2=O)C(=O)O)C.CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)C,,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Penicillins
erdafitinib,C25H30N6O2,CC(C)NCCN(C1=CC2=NC(=CN=C2C=C1)C3=CN(N=C3)C)C4=CC(=CC(=C4)OC)OC,,Breast Feeding|Lactation|Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors|Signal Transduction Inhibitors
Gentian Violet,C25H30ClN3,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-],,"Breast Feeding|Lactation|Anti-Infective Agents, Local"
Amiodarone,C25H29I2NO3,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,,Breast Feeding|Lactation|Antiarrhythmics
Irbesartan,C25H28N6O,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,,Breast Feeding|Lactation|Antihypertensive Agents|Angiotensin II Type 1 Receptor Blockers|Angiotensin Receptor Blockers|ARBs
Brexpiprazole,C25H27N3O2S,C1CN(CCN1CCCCOC2=CC3=C(C=C2)C=CC(=O)N3)C4=C5C=CSC5=CC=C4,,Breast Feeding|Lactation|Antipsychotic Agents|Serotonin Agents|Dopamine Agonists
Meclizine,C25H27ClN2,CC1=CC(=CC=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl,,Breast Feeding|Lactation|Antiemetics|Antihistamines|Anti-Allergic Agents
Dabigatran,C25H25N7O3,CN1C2=C(C=C(C=C2)C(=O)N(CCC(=O)O)C3=CC=CC=N3)N=C1CNC4=CC=C(C=C4)C(=N)N,,Breast Feeding|Lactation|Anticoagulants|Antithrombins
Apixaban,C25H25N5O4,COC1=CC=C(C=C1)N2C3=C(CCN(C3=O)C4=CC=C(C=C4)N5CCCCC5=O)C(=N2)C(=O)N,,Breast Feeding|Lactation|Anticoagulants|Antithrombins
Ibrutinib,C25H24N6O2,C=CC(=O)N1CCC[C@H](C1)N2C3=NC=NC(=C3C(=N2)C4=CC=C(C=C4)OC5=CC=CC=C5)N,,"Breast Feeding|Lactation|Milk, Human|Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors|Signal Transduction Inhibitors"
Pitavastatin,C25H24FNO4,C1CC1C2=NC3=CC=CC=C3C(=C2/C=C/[C@H](C[C@H](CC(=O)O)O)O)C4=CC=C(C=C4)F,,"Breast Feeding|Lactation|Milk, Human|Anticholesteremic Agents|Antilipemic Agents|Hydroxymethylglutaryl-CoA Reductase Inhibitors"
eltrombopag,C25H22N4O4,CC1=C(C=C(C=C1)N2C(=O)C(=C(N2)C)N=NC3=CC=CC(=C3O)C4=CC(=CC=C4)C(=O)O)C,,"Breast Feeding|Lactation|Milk, Human|Receptors, Thrombopoietin"
Azilsartan,C25H20N4O5,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NOC(=O)N5)C(=O)O,,Breast Feeding|Lactation|Antihypertensive Agents|Angiotensin II Type 1 Receptor Blockers|Angiotensin Receptor Blockers|ARBs
